0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:36 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:36 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:36 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:39 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:39 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:39 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:49 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:57 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:57 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:57 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:18 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:18 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:18 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:21 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:21 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:22 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
